N°,DNI,APELLIDOS,NOMBRES,CARGO,FECHA DE INICIO,REGIMEN LABORAL,ÓRGANO,UNIDAD ORGANICA,ESTADO,SERVIDORES CIVILES QUE TIENEN LICENCIA,CORREO ELECTRONICO INSTITUCIONAL,APELLIDOS Y NOMBRES
128,12388091,CALDERON ALBEROLA,CONSUELA LUCAS,Asistente Administrativo,2021-01-14,D.L. 728,Dirección General de Julio,Oficina de Empresa,ACTIVO,NO,,CALDERON ALBEROLA CONSUELA LUCAS
129,05917226,ESPINOSA AZNAR,JOSÉ ANTONIO ROSALVA,Analista G1,2021-02-14,D.L. 728,Dirección General de Pese,Oficina de Uno,ACTIVO,NO,,ESPINOSA AZNAR JOSÉ ANTONIO ROSALVA
130,17558318,PÉREZ TÉLLEZ,CANDELARIO CORONA,Coordinador Adjunto,2022-08-22,CAS,Dirección General de Han,Oficina de Tal,ACTIVO,NO,,PÉREZ TÉLLEZ CANDELARIO CORONA
131,99486329,COMPANY MATEU,CHE JOSE RAMÓN,Asistente Administrativo,2017-07-12,D.L. 276,Dirección General de Nuestras,Oficina de Actual,ACTIVO,NO,,COMPANY MATEU CHE JOSE RAMÓN
132,94713082,GONZALEZ YÁÑEZ,RICARDO VIRGILIO,Asistente Administrativo,2025-06-06,D.L. 276,Dirección General de Familia,Oficina de Razones,ACTIVO,NO,,GONZALEZ YÁÑEZ RICARDO VIRGILIO
133,01297846,ROMEU MAYORAL,CLOE ESTELA,Analista G1,2016-12-12,CAS,Dirección General de Líder,Oficina de Acerca,ACTIVO,NO,,ROMEU MAYORAL CLOE ESTELA
134,92747084,CABEZAS GALIANO,EUFEMIA HÉCTOR,Especialista Técnico,2018-12-28,D.L. 276,Dirección General de Hace,Oficina de Va,ACTIVO,NO,,CABEZAS GALIANO EUFEMIA HÉCTOR
135,04835615,HEREDIA DURÁN,CARMINA CARLITO,Coordinador Adjunto,2017-11-28,D.L. 276,Dirección General de Capital,Oficina de Llegó,ACTIVO,NO,,HEREDIA DURÁN CARMINA CARLITO
136,74158664,SORIANO MANUEL,ANACLETO JESÚS,Especialista Técnico,2019-03-24,D.L. 728,Dirección General de Junto,Oficina de Cuarto,ACTIVO,NO,,SORIANO MANUEL ANACLETO JESÚS
137,17105449,SANTIAGO    BELDA,JACINTA    JOAQUÍN,Analista G1,2025-08-02,D.L. 728,Dirección General de Cuestión,Oficina de Local,ACTIVO,NO,,SANTIAGO    BELDA JACINTA    JOAQUÍN
138,48942698,FIGUEROLA RODRÍGUEZ,DARÍO CANDELAS,Analista G1,2018-08-05,D.L. 728,Dirección General de Cómo,Oficina de Reforma,ACTIVO,NO,,FIGUEROLA RODRÍGUEZ DARÍO CANDELAS
139,28195996,LARRAÑAGA CISNEROS,CALIXTO BENITO,Especialista Técnico,2018-01-02,D.L. 276,Dirección General de Hemos,Oficina de Actividades,ACTIVO,NO,,LARRAÑAGA CISNEROS CALIXTO BENITO
140,13796727,  MALO SAAVEDRA,EDELMIRO ADELINA   ,Coordinador Adjunto,2023-03-26,D.L. 276,Dirección General de Región,Oficina de Barcelona,ACTIVO,NO,,  MALO SAAVEDRA EDELMIRO ADELINA   
141,54543050,LLADÓ VALL,CALISTA ANA,Especialista Técnico,2020-09-21,CAS,Dirección General de Decía,Oficina de Dos,ACTIVO,NO,,LLADÓ VALL CALISTA ANA
142,21810618,ROSALES MORA,ELISABET JOSUÉ,Especialista Técnico,2016-08-08,D.L. 728,Dirección General de Tu,Oficina de Hospital,ACTIVO,NO,,ROSALES MORA ELISABET JOSUÉ
143,03326770,ALMANSA LEON,CORONA APOLINAR,Especialista Técnico,2023-12-23,D.L. 276,Dirección General de Fueron,Oficina de Resultados,ACTIVO,NO,,ALMANSA LEON CORONA APOLINAR
144,44585179,VILLENA SALAMANCA,YÉSICA LEOPOLDO,Asistente Administrativo,2018-02-27,D.L. 276,Dirección General de Cantidad,Oficina de Deben,ACTIVO,NO,,VILLENA SALAMANCA YÉSICA LEOPOLDO
145,98657753,TÉLLEZ BOU,ADORACIÓN PABLO,Especialista Técnico,2020-06-05,D.L. 728,Dirección General de Quienes,Oficina de Puedo,ACTIVO,NO,,TÉLLEZ BOU ADORACIÓN PABLO
146,21367173,CALVO CUEVAS,NARCISO SERGIO,Analista G1,2023-04-13,D.L. 728,Dirección General de Equipo,Oficina de Permite,ACTIVO,NO,,CALVO CUEVAS NARCISO SERGIO
147,05197529,PÉREZ ARCO,WÁLTER CHUS,Asistente Administrativo,2019-06-28,CAS,Dirección General de Mayoría,Oficina de Les,ACTIVO,NO,,PÉREZ ARCO WÁLTER CHUS
148,26786212,QUINTERO VILAR,PALOMA ABEL,Asistente Administrativo,2022-12-03,D.L. 728,Dirección General de Cuya,Oficina de Soy,ACTIVO,NO,,QUINTERO VILAR PALOMA ABEL
149,40962025,REYES BALLESTER,GODOFREDO AURA,Especialista Técnico,2019-12-18,CAS,Dirección General de Características,Oficina de Diez,ACTIVO,NO,,REYES BALLESTER GODOFREDO AURA
150,03176187,SALAMANCA AZNAR,HERMINIO JUANITO,Especialista Técnico,2021-11-02,D.L. 728,Dirección General de Suficiente,Oficina de Tierra,ACTIVO,NO,,SALAMANCA AZNAR HERMINIO JUANITO
151,44058574,RÍOS TORMO,DOMINGO AMBROSIO,Coordinador Adjunto,2026-01-28,CAS,Dirección General de Elementos,Oficina de Mirada,ACTIVO,NO,,RÍOS TORMO DOMINGO AMBROSIO
152,37463523,HERAS CUADRADO,MARÍA CARMEN,Coordinador Adjunto,2016-06-24,D.L. 276,Dirección General de Base,Oficina de Sido,ACTIVO,NO,,HERAS CUADRADO MARÍA CARMEN
153,68371273,GOMILA CARBALLO,ÍÑIGO DESIDERIO,Asistente Administrativo,2022-10-28,D.L. 276,Dirección General de Pasado,Oficina de Diez,ACTIVO,NO,,GOMILA CARBALLO ÍÑIGO DESIDERIO
154,71969658,MANZANARES VERDÚ,JULIETA LEANDRO,Coordinador Adjunto,2020-07-01,CAS,Dirección General de Comunidad,Oficina de Atención,ACTIVO,NO,,MANZANARES VERDÚ JULIETA LEANDRO
155,15480908,HERVÁS SAURA,CARMEN ESPIRIDIÓN,Coordinador Adjunto,2020-03-07,CAS,Dirección General de Solamente,Oficina de Cuyo,ACTIVO,NO,,HERVÁS SAURA CARMEN ESPIRIDIÓN
156,77925435,VERDEJO CEREZO,ROSARIO BUENAVENTURA,Coordinador Adjunto,2019-02-09,CAS,Dirección General de Costa,Oficina de Militares,ACTIVO,NO,,VERDEJO CEREZO ROSARIO BUENAVENTURA
157,14549544,RIBERA NIETO,MIRTA ANUNCIACIÓN,Asistente Administrativo,2019-01-06,D.L. 728,Dirección General de Que,Oficina de Junto,ACTIVO,NO,,RIBERA NIETO MIRTA ANUNCIACIÓN
158,97783663,MARTÍN TOVAR,ROSENDA EUSTAQUIO,Coordinador Adjunto,2020-10-23,D.L. 728,Dirección General de Necesidad,Oficina de Libro,ACTIVO,NO,,MARTÍN TOVAR ROSENDA EUSTAQUIO
159,81363975,MÁRQUEZ PI,XAVIER MODESTO,Analista G1,2025-01-15,D.L. 728,Dirección General de Ocho,Oficina de Centro,ACTIVO,NO,,MÁRQUEZ PI XAVIER MODESTO
160,77388338,PIÑOL GUILLEN,ROBERTA MAURA,Especialista Técnico,2020-06-14,D.L. 728,Dirección General de Paso,Oficina de Serán,ACTIVO,NO,,PIÑOL GUILLEN ROBERTA MAURA
161,05957460,SUÁREZ PIQUER,ROLANDO GRACIA,Asistente Administrativo,2024-04-08,CAS,Dirección General de Existencia,Oficina de Tal,ACTIVO,NO,,SUÁREZ PIQUER ROLANDO GRACIA
162,69782528,VALBUENA ARCO,EDMUNDO ANI,Especialista Técnico,2025-12-31,D.L. 728,Dirección General de Buena,Oficina de Socialista,ACTIVO,NO,,VALBUENA ARCO EDMUNDO ANI
163,57887758,CABRERA SACRISTÁN,CORNELIO BEGOÑA,Analista G1,2025-06-13,D.L. 276,Dirección General de Una,Oficina de Carta,ACTIVO,NO,,CABRERA SACRISTÁN CORNELIO BEGOÑA
164,44318699,COBOS REDONDO,SABINA FÁTIMA,Coordinador Adjunto,2026-01-17,D.L. 276,Dirección General de Otro,Oficina de Cerca,ACTIVO,NO,,COBOS REDONDO SABINA FÁTIMA
165,16726927,LANDA NEVADO,ESTRELLA JIMENA,Coordinador Adjunto,2020-04-27,D.L. 276,Dirección General de Eso,Oficina de Instituciones,ACTIVO,NO,,LANDA NEVADO ESTRELLA JIMENA
166,41511485,MOYA PINTO,MAXIMILIANO EUGENIA,Asistente Administrativo,2023-07-14,D.L. 728,Dirección General de Diferencia,Oficina de Calidad,ACTIVO,NO,,MOYA PINTO MAXIMILIANO EUGENIA
167,54009266,ARAUJO BAYONA,JOEL EVANGELINA,Coordinador Adjunto,2023-03-11,D.L. 276,Dirección General de Tierra,Oficina de Lado,ACTIVO,NO,,ARAUJO BAYONA JOEL EVANGELINA
168,17084280,BOTELLA ROURA,CLÍMACO MARTIRIO,Especialista Técnico,2022-09-07,D.L. 728,Dirección General de Vio,Oficina de Antes,ACTIVO,NO,,BOTELLA ROURA CLÍMACO MARTIRIO
169,89245318,SALCEDO DELGADO,JOAQUINA MARCELINO,Asistente Administrativo,2025-05-19,D.L. 276,Dirección General de Hasta,Oficina de Luz,ACTIVO,NO,,SALCEDO DELGADO JOAQUINA MARCELINO
170,23357555,BARBA MARCOS,PLINIO REINALDO,Coordinador Adjunto,2020-08-26,D.L. 728,Dirección General de Obra,Oficina de Conjunto,ACTIVO,NO,,BARBA MARCOS PLINIO REINALDO
171,73542888,REQUENA ESCOLANO,FRANCISCO GABINO,Analista G1,2017-02-18,D.L. 728,Dirección General de Área,Oficina de Presencia,ACTIVO,NO,,REQUENA ESCOLANO FRANCISCO GABINO
172,38508908,HERNANDO VALENCIANO,XIMENA DALILA,Especialista Técnico,2017-10-10,D.L. 728,Dirección General de Pronto,Oficina de Tomar,ACTIVO,NO,,HERNANDO VALENCIANO XIMENA DALILA
173,77844240,IZQUIERDO SEGURA,JOSÉ MARI GRISELDA,Coordinador Adjunto,2016-06-09,D.L. 728,Dirección General de Suerte,Oficina de Nuestros,ACTIVO,NO,,IZQUIERDO SEGURA JOSÉ MARI GRISELDA
174,59295516,MAESTRE CRUZ,CANDELARIO VASCO,Asistente Administrativo,2025-10-18,D.L. 276,Dirección General de Clase,Oficina de Partir,ACTIVO,NO,,MAESTRE CRUZ CANDELARIO VASCO
175,28682517,  RODRIGO IBÁÑEZ  ,  YAGO RAMONA  ,Asistente Administrativo,2019-05-14,D.L. 276,Dirección General de Dinero,Oficina de Temas,ACTIVO,NO,,  RODRIGO IBÁÑEZ     YAGO RAMONA  
176,22775594,TOMAS CAMPILLO,JORDI RICO,Analista G1,2022-01-24,D.L. 728,Dirección General de Izquierda,Oficina de Nivel,ACTIVO,NO,,TOMAS CAMPILLO JORDI RICO
177,69182798,MARQUEZ ALMEIDA,PAULA GENOVEVA,Coordinador Adjunto,2020-04-20,CAS,Dirección General de Se,Oficina de Cine,ACTIVO,NO,,MARQUEZ ALMEIDA PAULA GENOVEVA
178,31523530,AVILÉS VALDÉS,PEPITA VERA,Coordinador Adjunto,2025-05-17,CAS,Dirección General de Produce,Oficina de Mirada,ACTIVO,NO,,AVILÉS VALDÉS PEPITA VERA
179,26726768,GRAU ORTUÑO,ISIDORO FANNY,Especialista Técnico,2018-03-31,CAS,Dirección General de Modo,Oficina de Padres,ACTIVO,NO,,GRAU ORTUÑO ISIDORO FANNY
180,06202701,CERRO CABALLERO,VERA EULALIA,Especialista Técnico,2022-10-23,D.L. 728,Dirección General de Trata,Oficina de Pasó,ACTIVO,NO,,CERRO CABALLERO VERA EULALIA
181,82043804,SAEZ ARAGONÉS,CRUZ PÁNFILO,Analista G1,2023-09-02,D.L. 728,Dirección General de Tres,Oficina de Hermano,ACTIVO,NO,,SAEZ ARAGONÉS CRUZ PÁNFILO
182,55625331,MARQUEZ MORILLO,MARIANA SEVERO,Especialista Técnico,2018-02-06,D.L. 276,Dirección General de Están,Oficina de Fuego,ACTIVO,NO,,MARQUEZ MORILLO MARIANA SEVERO
183,93463086,PAZ VALLS,XIOMARA LEANDRO,Asistente Administrativo,2024-08-25,D.L. 728,Dirección General de Muerte,Oficina de Obstante,ACTIVO,NO,,PAZ VALLS XIOMARA LEANDRO
184,53640500,TIRADO MARQUEZ,MARGARITA SABINA,Especialista Técnico,2019-09-25,CAS,Dirección General de Unos,Oficina de Sigue,ACTIVO,NO,,TIRADO MARQUEZ MARGARITA SABINA
185,88054616,BENET CHICO,MARISELA JAIME,Analista G1,2024-12-12,CAS,Dirección General de Médico,Oficina de Amigo,ACTIVO,NO,,BENET CHICO MARISELA JAIME
186,57062157,PUERTA PAZ,CIPRIANO MORENA,Especialista Técnico,2020-04-16,CAS,Dirección General de Meses,Oficina de Resto,ACTIVO,NO,,PUERTA PAZ CIPRIANO MORENA
187,93403698,CASALS SANZ,RAFA HORTENSIA,Asistente Administrativo,2023-11-02,CAS,Dirección General de Siglo,Oficina de Favor,ACTIVO,NO,,CASALS SANZ RAFA HORTENSIA
188,74813740,PIQUER PERA,CÁNDIDO IMELDA,Especialista Técnico,2018-09-07,CAS,Dirección General de Sus,Oficina de Opinión,ACTIVO,NO,,PIQUER PERA CÁNDIDO IMELDA
189,61265270,MOSQUERA GIRALT,FLORA BERNARDINO,Especialista Técnico,2022-09-13,D.L. 728,Dirección General de Nuevos,Oficina de Hermano,ACTIVO,NO,,MOSQUERA GIRALT FLORA BERNARDINO
190,89600767,MATAS REAL,DEMETRIO ENRIQUE,Coordinador Adjunto,2016-10-18,D.L. 728,Dirección General de Ser,Oficina de Cosa,ACTIVO,NO,,MATAS REAL DEMETRIO ENRIQUE
191,82228803,UGARTE CARMONA,CLETO JOEL,Asistente Administrativo,2025-03-21,D.L. 276,Dirección General de Lugar,Oficina de Hijo,ACTIVO,NO,,UGARTE CARMONA CLETO JOEL
192,59849512,SANTIAGO PELÁEZ,HERMINIA MANUELITA,Especialista Técnico,2023-04-24,D.L. 276,Dirección General de Palabra,Oficina de Estudio,ACTIVO,NO,,SANTIAGO PELÁEZ HERMINIA MANUELITA
193,63709725,CORTES RIBERA,FÁTIMA CONRADO,Asistente Administrativo,2024-09-06,D.L. 728,Dirección General de Blanco,Oficina de Base,ACTIVO,NO,,CORTES RIBERA FÁTIMA CONRADO
194,33183956,LOSA APARICIO,JENNY RAIMUNDO,Coordinador Adjunto,2018-07-08,D.L. 276,Dirección General de Existe,Oficina de Animales,ACTIVO,NO,,LOSA APARICIO JENNY RAIMUNDO
195,65041511,GUZMAN PAREJA,CONRADO ITZIAR,Especialista Técnico,2020-01-07,D.L. 728,Dirección General de Llama,Oficina de Sur,ACTIVO,NO,,GUZMAN PAREJA CONRADO ITZIAR
196,59038701,PALMER BARRERA,RÓMULO LEONCIO,Analista G1,2018-03-30,D.L. 276,Dirección General de Primera,Oficina de Aquellas,ACTIVO,NO,,PALMER BARRERA RÓMULO LEONCIO
197,38349784,SANZ BRAVO,GLORIA IBÁN,Especialista Técnico,2022-10-06,D.L. 728,Dirección General de P,Oficina de Explicó,ACTIVO,NO,,SANZ BRAVO GLORIA IBÁN
198,45076694,ALMAZÁN AYUSO,MIRIAM NAZARIO,Coordinador Adjunto,2018-10-12,D.L. 276,Dirección General de Además,Oficina de Fuego,ACTIVO,NO,,ALMAZÁN AYUSO MIRIAM NAZARIO
199,10814951,FUERTES BAYONA   ,PAULA    MARÍA DEL CARMEN,Especialista Técnico,2021-11-20,CAS,Dirección General de Elecciones,Oficina de Países,ACTIVO,NO,,FUERTES BAYONA    PAULA    MARÍA DEL CARMEN
200,31039391,GUIJARRO MOYA,MARÍA ÁNGELES EUSEBIO,Asistente Administrativo,2024-03-25,D.L. 276,Dirección General de Mesa,Oficina de Que,ACTIVO,NO,,GUIJARRO MOYA MARÍA ÁNGELES EUSEBIO
201,20509176,LLUCH COCA,ELADIO CALIXTA,Especialista Técnico,2018-11-07,CAS,Dirección General de Cual,Oficina de Poco,ACTIVO,NO,,LLUCH COCA ELADIO CALIXTA
202,55682627,AMIGÓ CATALÁ,ALBINO PEPITO,Asistente Administrativo,2024-03-30,D.L. 728,Dirección General de Unas,Oficina de Productos,ACTIVO,NO,,AMIGÓ CATALÁ ALBINO PEPITO
203,72828035,MORANTE ALCÁZAR,FÉLIX JUAN MANUEL,Asistente Administrativo,2016-11-13,D.L. 728,Dirección General de Humano,Oficina de Servicios,ACTIVO,NO,,MORANTE ALCÁZAR FÉLIX JUAN MANUEL
204,08357163,ZORRILLA CARBALLO,MARCIA BERNARDO,Especialista Técnico,2021-02-08,D.L. 728,Dirección General de Conciencia,Oficina de Acción,ACTIVO,NO,,ZORRILLA CARBALLO MARCIA BERNARDO
205,52274693,VILANOVA CANALES,VITO ANITA,Analista G1,2018-07-24,D.L. 276,Dirección General de Origen,Oficina de Era,ACTIVO,NO,,VILANOVA CANALES VITO ANITA
206,51053878,VÁZQUEZ MATA,ÁLVARO FERNANDA,Asistente Administrativo,2025-12-26,CAS,Dirección General de Ni,Oficina de Investigación,ACTIVO,NO,,VÁZQUEZ MATA ÁLVARO FERNANDA
207,47212268,QUEROL ROLDAN,ITZIAR CÁNDIDO,Coordinador Adjunto,2021-03-31,D.L. 728,Dirección General de Hermano,Oficina de Ninguna,ACTIVO,NO,,QUEROL ROLDAN ITZIAR CÁNDIDO
208,56240085,BELTRÁN BERROCAL,MODESTO EMA,Especialista Técnico,2017-10-29,D.L. 728,Dirección General de Quien,Oficina de Da,ACTIVO,NO,,BELTRÁN BERROCAL MODESTO EMA
209,29450274,MORCILLO PIQUER,EDELMIRA BERNARDA,Coordinador Adjunto,2019-04-18,D.L. 728,Dirección General de Dólares,Oficina de Quizá,ACTIVO,NO,,MORCILLO PIQUER EDELMIRA BERNARDA
210,65181766,  ROS CABEZAS  ,NADIA JUDITH   ,Analista G1,2017-06-27,D.L. 728,Dirección General de América,Oficina de Tratamiento,ACTIVO,NO,,  ROS CABEZAS   NADIA JUDITH   
211,45114544,  GARRIDO ROPERO  ,VITO    SUSANITA,Asistente Administrativo,2018-08-18,D.L. 276,Dirección General de Segunda,Oficina de Sueño,ACTIVO,NO,,  GARRIDO ROPERO   VITO    SUSANITA
212,22151929,SANTANA PUJADAS,SEVERO LUNA,Asistente Administrativo,2017-04-18,CAS,Dirección General de Alto,Oficina de Semana,ACTIVO,NO,,SANTANA PUJADAS SEVERO LUNA
213,83517916,JARA PERELLÓ,EZEQUIEL JACINTA,Analista G1,2025-07-29,D.L. 728,Dirección General de Bien,Oficina de Sí,ACTIVO,NO,,JARA PERELLÓ EZEQUIEL JACINTA
214,79442504,BLÁZQUEZ BUENDÍA,TONI CLEMENTE,Analista G1,2023-10-16,CAS,Dirección General de Ningún,Oficina de Octubre,ACTIVO,NO,,BLÁZQUEZ BUENDÍA TONI CLEMENTE
215,86268398,CASTILLO BARREDA,DELIA CHITA,Asistente Administrativo,2021-12-17,CAS,Dirección General de Puedo,Oficina de Primera,ACTIVO,NO,,CASTILLO BARREDA DELIA CHITA
216,61968117,REIG OTERO,SAMANTA GRACIELA,Especialista Técnico,2025-10-03,CAS,Dirección General de Principio,Oficina de Dicen,ACTIVO,NO,,REIG OTERO SAMANTA GRACIELA
217,34917590,AZNAR MAESTRE,ELI MATEO,Asistente Administrativo,2019-11-11,D.L. 728,Dirección General de Superior,Oficina de Económica,ACTIVO,NO,,AZNAR MAESTRE ELI MATEO
218,28408563,GARCIA CORTES,GALA ALMA,Asistente Administrativo,2018-08-03,D.L. 728,Dirección General de General,Oficina de Ellas,ACTIVO,NO,,GARCIA CORTES GALA ALMA
219,45298557,  PEDRERO CARDONA,  MARÍA BELÉN LEÓN,Asistente Administrativo,2022-02-01,D.L. 728,Dirección General de Llamado,Oficina de Mediante,ACTIVO,NO,,  PEDRERO CARDONA   MARÍA BELÉN LEÓN
220,56581474,AMO LASTRA,AMBROSIO GERALDO,Coordinador Adjunto,2019-01-29,CAS,Dirección General de Práctica,Oficina de Trata,ACTIVO,NO,,AMO LASTRA AMBROSIO GERALDO
221,63123516,NICOLÁS OROZCO,ADOLFO GERARDO,Analista G1,2025-01-16,D.L. 276,Dirección General de Cine,Oficina de Pie,ACTIVO,NO,,NICOLÁS OROZCO ADOLFO GERARDO
222,72399600,PÉREZ BAÑOS   ,  ERASMO MANU  ,Analista G1,2022-09-04,D.L. 728,Dirección General de Sobre,Oficina de Sí,ACTIVO,NO,,PÉREZ BAÑOS      ERASMO MANU  
223,30094590,GARRIDO PEÑALVER,SIMÓN WILFREDO,Analista G1,2019-10-03,D.L. 276,Dirección General de Interior,Oficina de Respecto,ACTIVO,NO,,GARRIDO PEÑALVER SIMÓN WILFREDO
224,05403356,MORATA BLAZQUEZ,SOL BALDOMERO,Analista G1,2017-11-25,CAS,Dirección General de Lejos,Oficina de Lleva,ACTIVO,NO,,MORATA BLAZQUEZ SOL BALDOMERO
225,26757738,AYALA BILBAO,LALO VENCESLÁS,Analista G1,2022-12-19,D.L. 276,Dirección General de Organización,Oficina de Parecía,ACTIVO,NO,,AYALA BILBAO LALO VENCESLÁS
226,20452413,SALAMANCA RIBAS,LEANDRO ILDEFONSO,Especialista Técnico,2023-11-23,CAS,Dirección General de Ante,Oficina de Libro,ACTIVO,NO,,SALAMANCA RIBAS LEANDRO ILDEFONSO
227,63560290,ROPERO CANTERO,LORETO IRENE,Analista G1,2023-02-17,D.L. 276,Dirección General de Nuevas,Oficina de Televisión,ACTIVO,NO,,ROPERO CANTERO LORETO IRENE
228,29254706,MENDEZ ARROYO,ISIDRO RUPERTO,Asistente Administrativo,2026-03-11,D.L. 276,Dirección General de Hay,Oficina de Los,ACTIVO,NO,,MENDEZ ARROYO ISIDRO RUPERTO
229,34392447,FUENTE MATA,HÉCTOR MARÍA FERNANDA,Coordinador Adjunto,2017-09-19,CAS,Dirección General de Información,Oficina de Segundo,ACTIVO,NO,,FUENTE MATA HÉCTOR MARÍA FERNANDA
230,81321541,MOSQUERA CARRETERO,ADRIÁN ANASTASIA,Analista G1,2023-10-25,CAS,Dirección General de Fueron,Oficina de Esto,ACTIVO,NO,,MOSQUERA CARRETERO ADRIÁN ANASTASIA
231,41746938,PINTO GRAU,ANGELITA CELIA,Analista G1,2024-09-05,D.L. 276,Dirección General de Mira,Oficina de Dios,ACTIVO,NO,,PINTO GRAU ANGELITA CELIA
232,03446500,BELLO PUERTA,ROSALVA MANUELA,Coordinador Adjunto,2016-10-07,D.L. 276,Dirección General de Al,Oficina de Aquellos,ACTIVO,NO,,BELLO PUERTA ROSALVA MANUELA
233,90912014,BERMEJO MILLÁN,CORAL TIMOTEO,Asistente Administrativo,2022-01-29,D.L. 728,Dirección General de Principales,Oficina de Siete,ACTIVO,NO,,BERMEJO MILLÁN CORAL TIMOTEO
234,95967650,RIOS MANCEBO,DARÍO SANDALIO,Especialista Técnico,2016-07-21,CAS,Dirección General de Luz,Oficina de Tienen,ACTIVO,NO,,RIOS MANCEBO DARÍO SANDALIO
235,79470030,SEGUÍ PAREDES,CHUS ULISES,Especialista Técnico,2024-10-15,CAS,Dirección General de Cuerpo,Oficina de Deben,ACTIVO,NO,,SEGUÍ PAREDES CHUS ULISES
236,93575661,  PÉREZ ZAMORA  ,CAYETANO    RUY,Coordinador Adjunto,2025-01-19,D.L. 276,Dirección General de Doctor,Oficina de Segunda,ACTIVO,NO,,  PÉREZ ZAMORA   CAYETANO    RUY
237,80585883,GIRALT MÍNGUEZ,MELANIA FLORENTINO,Analista G1,2017-02-09,D.L. 276,Dirección General de Suelo,Oficina de Ante,ACTIVO,NO,,GIRALT MÍNGUEZ MELANIA FLORENTINO
238,05512206,VIANA FERRERA,VICENTA MAURA,Coordinador Adjunto,2019-11-03,D.L. 276,Dirección General de Entrada,Oficina de Noviembre,ACTIVO,NO,,VIANA FERRERA VICENTA MAURA
239,57495924,COLOMA GUZMAN,CRISTIAN ESTEBAN,Coordinador Adjunto,2018-11-27,CAS,Dirección General de Nueva,Oficina de Francisco,ACTIVO,NO,,COLOMA GUZMAN CRISTIAN ESTEBAN
240,67908908,CORONADO BENET,GALO MARÍA TERESA,Coordinador Adjunto,2022-08-16,CAS,Dirección General de Nuevos,Oficina de Lejos,ACTIVO,NO,,CORONADO BENET GALO MARÍA TERESA
241,56379330,SANCHEZ MORALEDA,ROSARIO EULALIA,Asistente Administrativo,2019-07-04,CAS,Dirección General de Interés,Oficina de Tiempo,ACTIVO,NO,,SANCHEZ MORALEDA ROSARIO EULALIA
242,58186526,SOMOZA SALAMANCA,EVANGELINA MARCIO,Coordinador Adjunto,2024-04-22,D.L. 276,Dirección General de Teatro,Oficina de Vez,ACTIVO,NO,,SOMOZA SALAMANCA EVANGELINA MARCIO
243,61705171,ORTIZ VERA,CANDELARIO MARTÍN,Especialista Técnico,2020-12-17,D.L. 728,Dirección General de Ser,Oficina de Puede,ACTIVO,NO,,ORTIZ VERA CANDELARIO MARTÍN
244,23640703,PEINADO MADRID,CARMELO FILOMENA,Coordinador Adjunto,2024-12-27,D.L. 276,Dirección General de Junio,Oficina de Tres,ACTIVO,NO,,PEINADO MADRID CARMELO FILOMENA
245,72232345,VENDRELL PLANAS,ÓSCAR CUSTODIA,Asistente Administrativo,2021-11-20,D.L. 728,Dirección General de Local,Oficina de Alrededor,ACTIVO,NO,,VENDRELL PLANAS ÓSCAR CUSTODIA
246,58461819,ARMENGOL SANDOVAL,VIOLETA NÉLIDA,Coordinador Adjunto,2022-01-23,D.L. 728,Dirección General de Será,Oficina de Proyecto,ACTIVO,NO,,ARMENGOL SANDOVAL VIOLETA NÉLIDA
247,32949804,TAMARIT VALLEJO,EUTROPIO BERNABÉ,Analista G1,2020-11-06,D.L. 728,Dirección General de Principios,Oficina de Distintas,ACTIVO,NO,,TAMARIT VALLEJO EUTROPIO BERNABÉ
248,60505621,NUÑEZ BLASCO,ANNA FLAVIA,Especialista Técnico,2018-01-26,D.L. 728,Dirección General de Último,Oficina de Baja,ACTIVO,NO,,NUÑEZ BLASCO ANNA FLAVIA
249,76483925,RÍO SAAVEDRA,AZUCENA AZENETH,Asistente Administrativo,2022-06-11,D.L. 728,Dirección General de Policía,Oficina de Ningún,ACTIVO,NO,,RÍO SAAVEDRA AZUCENA AZENETH
250,03852049,LUNA PONCE,SEBASTIAN MATILDE,Asistente Administrativo,2019-09-24,D.L. 728,Dirección General de Decía,Oficina de Sólo,ACTIVO,NO,,LUNA PONCE SEBASTIAN MATILDE
251,24406133,NADAL BASTIDA,NARCISO CIRÍACO,Asistente Administrativo,2021-12-04,CAS,Dirección General de Antonio,Oficina de Cabeza,ACTIVO,NO,,NADAL BASTIDA NARCISO CIRÍACO
252,47623801,INIESTA CONESA,NAZARIO CEFERINO,Coordinador Adjunto,2022-03-04,D.L. 728,Dirección General de Nuevo,Oficina de Visita,ACTIVO,NO,,INIESTA CONESA NAZARIO CEFERINO
253,37535127,OLMO MENÉNDEZ,GABRIELA JOVITA,Coordinador Adjunto,2022-12-19,D.L. 276,Dirección General de Esto,Oficina de Actividades,ACTIVO,NO,,OLMO MENÉNDEZ GABRIELA JOVITA
254,01362460,BLAZQUEZ MENENDEZ,CELIA RENATO,Especialista Técnico,2022-10-12,CAS,Dirección General de Pesetas,Oficina de Volvió,ACTIVO,NO,,BLAZQUEZ MENENDEZ CELIA RENATO
255,32394261,CASTELL ZURITA,CIRO FLAVIA,Asistente Administrativo,2023-01-19,D.L. 728,Dirección General de Políticos,Oficina de Acción,ACTIVO,NO,,CASTELL ZURITA CIRO FLAVIA
256,74514490,ALFARO PAREJA,MARTIN GERALDO,Especialista Técnico,2025-11-09,D.L. 276,Dirección General de Puesto,Oficina de R,ACTIVO,NO,,ALFARO PAREJA MARTIN GERALDO
